page_id,book,family,correctable_index,role,spans,span_chars,min_conf,clean,parsed,accepted,reason,outside_segments,outside_edits,changed_spans,changed_chars,seconds
book-01-p0046,1,A,3,title,1,4,0.328154,1,1,1,,0,0,0,0,4.58
book-01-p0046,1,A,5,body,1,2,0.257240,1,1,0,outside-changed,1,3,0,0,48.78
book-01-p0059,1,A,5,body,1,9,0.595491,0,1,1,,0,0,1,5,25.82
book-01-p0059,1,A,7,body,1,11,0.556219,0,1,1,,0,0,1,3,33.97
book-01-p0110,1,A,29,body,1,2,0.481823,0,1,1,,0,0,1,1,42.47
book-01-p0117,1,A,32,body,1,1,0.454450,0,1,1,,0,0,1,1,35.30
book-01-p0122,1,A,24,body,1,8,0.522083,1,1,1,,0,0,0,0,28.54
book-01-p0165,1,A,20,body,1,10,0.516467,1,1,1,,0,0,0,0,23.90
book-01-p0165,1,A,33,body,1,10,0.551820,0,1,1,,0,0,1,1,17.60
book-01-p0165,1,A,40,body,1,7,0.266251,0,1,1,,0,0,1,2,33.04
book-01-p0186,1,A,3,body,1,9,0.591449,0,1,1,,0,0,1,1,15.17
book-01-p0250,1,A,18,body,1,1,0.548541,0,1,1,,0,0,1,1,15.80
book-01-p0250,1,A,27,body,1,2,0.473183,1,1,1,,0,0,0,0,13.91
book-01-p0281,1,A,28,body,1,11,0.584895,0,1,1,,0,0,1,5,15.36
book-01-p0285,1,A,21,body,1,8,0.533974,0,1,1,,0,0,1,1,18.13
book-01-p0302,1,A,0,body,1,11,0.527146,0,1,1,,0,0,1,3,19.93
book-02-p0005,2,A,3,body,1,2,0.224979,1,1,1,,0,0,0,0,37.10
book-02-p0005,2,A,6,body,1,7,0.484646,0,1,1,,0,0,1,1,18.59
book-02-p0028,2,A,30,body,1,7,0.513124,0,1,1,,0,0,1,1,35.92
book-02-p0028,2,A,36,body,1,7,0.229055,0,1,1,,0,0,1,3,28.84
book-02-p0028,2,A,39,body,1,10,0.512065,0,1,1,,0,0,1,2,18.39
book-02-p0028,2,A,41,body,1,4,0.300476,1,1,1,,0,0,0,0,48.29
book-02-p0033,2,A,13,body,1,8,0.524143,1,1,1,,0,0,0,0,35.39
book-02-p0033,2,A,32,body,1,10,0.571678,0,1,1,,0,0,1,4,27.86
book-02-p0033,2,A,39,body,1,5,0.529015,1,1,0,outside-changed,1,1,0,0,12.85
book-02-p0073,2,A,0,body,1,8,0.464934,0,1,1,,0,0,1,2,20.96
book-02-p0073,2,A,10,body,1,9,0.539010,0,1,1,,0,0,1,2,28.20
book-02-p0073,2,A,24,body,1,5,0.553986,0,1,1,,0,0,1,3,27.65
book-02-p0098,2,A,41,body,1,2,0.553686,0,1,1,,0,0,1,1,27.34
book-02-p0108,2,A,0,body,1,6,0.546286,0,1,1,,0,0,1,2,30.90
book-02-p0134,2,A,41,body,2,14,0.556667,1,1,0,outside-changed,1,2,0,0,64.96
book-02-p0138,2,A,28,body,1,10,0.436599,1,1,0,outside-changed,1,3,0,0,57.43
book-02-p0148,2,A,41,body,1,12,0.516479,0,1,1,,0,0,1,5,62.13
book-03-p0023,3,A,17,body,1,4,0.385257,1,1,1,,0,0,0,0,48.95
book-03-p0023,3,A,24,body,1,8,0.599892,0,1,1,,0,0,1,2,11.24
book-03-p0023,3,A,26,body,1,9,0.564244,0,1,1,,0,0,1,1,19.50
book-03-p0023,3,A,27,body,1,7,0.435754,0,1,1,,0,0,1,1,26.85
book-03-p0061,3,A,24,body,1,6,0.526636,0,1,1,,0,0,1,3,34.31
book-03-p0061,3,A,42,body,1,3,0.361249,0,1,1,,0,0,1,2,13.14
book-03-p0070,3,A,3,body,1,6,0.502465,1,1,1,,0,0,0,0,26.03
book-03-p0070,3,A,22,body,1,7,0.565164,0,1,1,,0,0,1,1,13.55
book-03-p0070,3,A,36,body,1,5,0.569600,0,1,1,,0,0,1,1,18.79
book-03-p0070,3,A,41,body,1,10,0.358225,0,1,1,,0,0,1,2,24.59
book-03-p0071,3,A,9,body,1,6,0.415019,0,1,1,,0,0,1,2,17.06
book-03-p0071,3,A,16,body,1,5,0.455788,0,1,1,,0,0,1,1,13.93
book-03-p0071,3,A,23,body,1,7,0.592859,0,1,1,,0,0,1,1,26.09
book-03-p0071,3,A,24,body,1,3,0.588344,0,1,1,,0,0,1,3,40.15
book-03-p0071,3,A,31,body,1,8,0.546260,0,1,1,,0,0,1,4,20.86
book-03-p0074,3,A,12,body,1,4,0.562283,0,1,1,,0,0,1,1,19.05
book-03-p0074,3,A,32,body,1,1,0.561064,0,1,1,,0,0,1,1,23.70
book-03-p0081,3,A,34,body,1,12,0.530308,1,1,1,,0,0,0,0,39.81
book-03-p0081,3,A,41,body,1,9,0.433466,0,1,1,,0,0,1,2,18.41
book-03-p0082,3,A,27,body,1,6,0.507673,0,1,1,,0,0,1,1,42.71
book-03-p0082,3,A,32,body,1,3,0.531952,0,1,1,,0,0,1,1,17.87
book-03-p0082,3,A,41,body,2,11,0.500624,0,1,1,,0,0,1,2,15.13
book-03-p0084,3,A,4,body,1,6,0.463462,0,1,1,,0,0,1,1,40.50
book-03-p0084,3,A,19,body,1,7,0.572464,0,1,1,,0,0,1,1,20.81
book-03-p0084,3,A,35,body,1,5,0.394287,0,1,1,,0,0,1,1,11.99
book-03-p0084,3,A,36,body,1,8,0.507987,1,1,0,outside-changed,1,1,0,0,38.88
book-03-p0084,3,A,43,body,2,15,0.550465,1,1,1,,0,0,0,0,30.72
book-03-p0084,3,A,44,body,1,8,0.265654,1,0,0,unparsed,0,0,0,0,49.26
book-03-p0088,3,A,0,body,1,11,0.522253,0,1,1,,0,0,1,1,16.55
book-03-p0088,3,A,4,body,1,3,0.509001,1,0,0,unparsed,0,0,0,0,36.93
book-03-p0088,3,A,40,body,1,4,0.538899,0,1,1,,0,0,1,1,15.17
book-03-p0101,3,A,23,body,1,6,0.509883,1,1,1,,0,0,0,0,15.20
book-03-p0101,3,A,30,body,1,1,0.564237,1,1,1,,0,0,0,0,36.68
book-03-p0101,3,A,35,body,1,5,0.576360,0,1,1,,0,0,1,1,14.75
book-03-p0101,3,A,42,body,1,3,0.524006,0,1,1,,0,0,1,2,37.94
book-03-p0123,3,A,12,body,1,6,0.543214,0,1,1,,0,0,1,4,36.50
book-03-p0123,3,A,28,body,1,7,0.317377,1,1,0,outside-changed,1,6,0,0,31.30
book-03-p0147,3,A,41,body,1,16,0.570533,0,1,1,,0,0,1,2,31.24
book-03-p0158,3,A,0,body,1,3,0.532000,1,1,1,,0,0,0,0,25.27
book-04-p0044,4,A,10,body,1,8,0.595809,0,1,1,,0,0,1,1,49.69
book-04-p0082,4,A,25,body,1,6,0.500483,0,1,1,,0,0,1,1,41.98
book-04-p0082,4,A,40,body,2,18,0.428855,0,1,1,,0,0,2,9,56.85
book-04-p0089,4,A,42,body,1,5,0.382944,0,1,1,,0,0,1,3,58.33
book-04-p0106,4,A,16,body,1,5,0.554840,0,1,1,,0,0,1,1,33.57
book-04-p0106,4,A,20,body,1,5,0.593755,0,1,1,,0,0,1,1,38.98
book-04-p0115,4,A,3,body,1,8,0.545301,0,1,1,,0,0,1,4,38.93
book-04-p0124,4,A,41,body,2,7,0.454540,0,1,1,,0,0,2,3,39.44
book-04-p0189,4,A,2,body,1,11,0.474870,0,1,1,,0,0,1,3,32.41
book-04-p0189,4,A,22,body,1,5,0.550095,0,1,1,,0,0,1,2,29.56
book-04-p0199,4,A,23,body,1,8,0.351243,0,1,1,,0,0,1,2,15.98
book-04-p0232,4,A,7,body,1,9,0.592505,0,1,1,,0,0,1,1,12.09
book-04-p0232,4,A,41,body,1,3,0.280656,1,1,0,outside-changed,1,1,0,0,30.72
book-04-p0239,4,A,1,body,1,2,0.493992,1,1,1,,0,0,1,2,16.49
book-04-p0239,4,A,15,body,1,9,0.587128,0,1,1,,0,0,1,1,34.57
book-04-p0239,4,A,19,body,1,5,0.286534,0,1,1,,0,0,1,1,29.01
book-04-p0240,4,A,5,body,1,6,0.510060,0,1,1,,0,0,1,3,30.19
book-04-p0240,4,A,27,body,1,7,0.478858,1,1,1,,0,0,0,0,33.19
book-05-p0007,5,A,17,body,1,6,0.341421,0,1,1,,0,0,1,2,21.76
book-05-p0007,5,A,23,body,1,8,0.520080,0,1,1,,0,0,1,4,28.66
book-05-p0022,5,A,41,body,2,11,0.350192,0,1,1,,0,0,2,3,36.16
book-05-p0023,5,A,4,body,1,7,0.588834,0,1,1,,0,0,1,2,18.97
book-05-p0024,5,A,13,body,1,2,0.521376,0,1,1,,0,0,1,1,18.17
book-05-p0024,5,A,14,body,1,4,0.539674,0,1,1,,0,0,1,3,11.83
book-05-p0024,5,A,18,body,1,11,0.523135,1,1,1,,0,0,0,0,24.24
book-05-p0024,5,A,41,body,1,15,0.599912,0,1,1,,0,0,1,5,61.78
book-05-p0040,5,A,7,body,1,12,0.560695,0,1,1,,0,0,1,2,18.97
book-05-p0081,5,A,5,body,1,5,0.399997,0,1,1,,0,0,1,2,17.74
book-05-p0081,5,A,43,body,1,10,0.403326,0,1,1,,0,0,1,1,24.52
book-05-p0082,5,A,1,body,1,10,0.538681,0,1,1,,0,0,1,1,13.81
book-05-p0082,5,A,5,body,1,6,0.550358,0,1,1,,0,0,1,1,25.35
book-05-p0082,5,A,7,body,1,4,0.437553,0,1,1,,0,0,1,4,43.32
book-05-p0082,5,A,9,body,1,5,0.439500,0,1,1,,0,0,1,1,35.30
book-05-p0082,5,A,41,body,3,18,0.279380,0,1,1,,0,0,1,1,48.62
book-05-p0115,5,A,13,body,1,5,0.482423,0,1,1,,0,0,1,3,22.15
book-05-p0115,5,A,17,body,1,7,0.598782,0,1,1,,0,0,1,1,18.72
book-05-p0116,5,A,0,body,1,3,0.342927,1,0,0,unparsed,0,0,0,0,41.74
book-05-p0116,5,A,3,body,1,4,0.538847,0,1,1,,0,0,1,1,37.70
book-05-p0116,5,A,13,body,1,4,0.548565,0,1,1,,0,0,1,1,37.90
book-05-p0116,5,A,35,body,1,10,0.534193,1,1,1,,0,0,0,0,71.35
book-05-p0120,5,A,1,body,1,3,0.510184,0,1,1,,0,0,1,2,59.31
book-05-p0120,5,A,41,body,4,33,0.284920,0,1,1,,0,0,3,10,40.05
book-05-p0141,5,A,11,body,1,16,0.566172,0,1,1,,0,0,1,2,20.20
book-05-p0141,5,A,32,body,1,4,0.586620,1,0,0,unparsed,0,0,0,0,68.50
book-05-p0141,5,A,35,body,1,7,0.536980,0,1,1,,0,0,1,4,46.75
book-05-p0141,5,A,42,body,1,4,0.517299,0,1,1,,0,0,1,1,29.75
book-05-p0154,5,A,2,body,1,7,0.492848,0,1,1,,0,0,1,3,47.91
book-05-p0154,5,A,29,body,1,12,0.518545,1,1,1,,0,0,0,0,44.86
book-05-p0165,5,A,2,body,1,8,0.576385,0,1,1,,0,0,1,5,63.93
book-05-p0165,5,A,42,body,1,4,0.576275,0,1,1,,0,0,1,1,31.15
book-05-p0176,5,A,4,body,1,9,0.515145,0,1,1,,0,0,1,2,29.23
book-05-p0179,5,A,2,body,1,9,0.524830,1,1,1,,0,0,0,0,30.14
book-05-p0227,5,A,17,body,1,6,0.575836,0,1,1,,0,0,1,1,27.35
book-05-p0227,5,A,21,body,2,7,0.210849,0,1,1,,0,0,2,3,23.78
book-05-p0229,5,A,2,body,1,7,0.380958,0,1,1,,0,0,1,1,29.72
book-05-p0229,5,A,8,body,1,5,0.520695,0,1,1,,0,0,1,3,39.08
book-05-p0229,5,A,14,body,1,7,0.480268,0,1,1,,0,0,1,4,20.05
book-05-p0229,5,A,27,body,1,4,0.538352,0,1,1,,0,0,1,1,46.35
book-05-p0229,5,A,41,body,1,10,0.584414,0,1,1,,0,0,1,6,44.01
book-05-p0231,5,A,8,body,1,5,0.564562,0,1,1,,0,0,1,1,23.57
book-05-p0231,5,A,26,body,1,8,0.531737,0,1,1,,0,0,1,2,38.98
book-05-p0231,5,A,41,body,1,11,0.515885,1,0,0,unparsed,0,0,0,0,44.95
book-05-p0232,5,A,5,body,1,7,0.504819,0,1,1,,0,0,1,1,22.01
book-05-p0232,5,A,24,body,1,8,0.543220,0,1,1,,0,0,1,2,39.26
book-05-p0232,5,A,41,body,1,2,0.374643,0,1,1,,0,0,1,1,56.14
book-05-p0244,5,A,0,body,1,10,0.535134,0,1,1,,0,0,1,1,36.09
book-05-p0244,5,A,10,body,1,12,0.530499,0,1,1,,0,0,1,1,53.16
book-06-p0010,6,A,0,body,1,5,0.393384,0,1,1,,0,0,1,2,22.17
book-06-p0010,6,A,1,body,1,8,0.554440,0,1,1,,0,0,1,4,50.52
book-06-p0010,6,A,5,body,1,2,0.575310,0,1,1,,0,0,1,1,19.55
book-06-p0010,6,A,11,body,1,6,0.491560,1,0,0,unparsed,0,0,0,0,39.35
book-06-p0010,6,A,15,body,1,7,0.532989,1,1,1,,0,0,0,0,45.65
book-06-p0010,6,A,20,body,1,6,0.580287,0,1,1,,0,0,1,1,10.70
book-06-p0010,6,A,21,body,1,4,0.548373,0,1,1,,0,0,1,3,13.21
book-06-p0010,6,A,45,body,2,14,0.501179,0,1,1,,0,0,2,3,27.39
book-06-p0010,6,A,53,body,1,9,0.532994,0,1,1,,0,0,1,2,20.27
book-06-p0010,6,A,56,body,2,15,0.484562,1,1,1,,0,0,0,0,55.00
book-06-p0030,6,A,18,body,1,7,0.516713,1,1,1,,0,0,0,0,22.67
book-06-p0048,6,A,30,body,1,5,0.210472,1,1,1,,0,0,0,0,35.59
book-06-p0048,6,A,32,body,1,3,0.440454,0,1,1,,0,0,1,1,28.84
book-06-p0048,6,A,36,body,1,4,0.183875,0,1,1,,0,0,1,2,18.39
book-06-p0048,6,A,40,body,1,3,0.464614,0,1,1,,0,0,1,1,59.56
book-06-p0058,6,A,0,body,1,12,0.518147,0,1,1,,0,0,1,1,38.90
book-06-p0058,6,A,8,body,1,1,0.579789,0,1,1,,0,0,1,1,18.91
book-06-p0058,6,A,29,body,1,4,0.431936,0,1,1,,0,0,1,4,49.57
book-06-p0058,6,A,42,body,1,6,0.489262,0,1,1,,0,0,1,1,35.05
book-06-p0058,6,A,44,body,1,12,0.538025,0,1,1,,0,0,1,1,13.69
book-06-p0062,6,A,41,body,1,6,0.591225,0,1,1,,0,0,1,5,22.49
book-06-p0071,6,A,0,body,1,10,0.587668,1,1,1,,0,0,0,0,18.34
book-06-p0071,6,A,7,body,1,7,0.583430,0,1,1,,0,0,1,1,57.06
book-06-p0071,6,A,23,body,1,7,0.422172,1,1,1,,0,0,0,0,23.30
book-06-p0071,6,A,35,body,1,8,0.597262,0,1,1,,0,0,1,1,13.16
book-06-p0071,6,A,41,body,2,13,0.395602,0,1,1,,0,0,2,3,25.22
book-06-p0075,6,A,1,body,1,7,0.555246,1,1,1,,0,0,0,0,21.75
book-06-p0075,6,A,14,body,1,2,0.512702,0,1,1,,0,0,1,1,13.06
book-06-p0075,6,A,41,body,1,8,0.537347,0,1,1,,0,0,1,1,16.90
book-06-p0090,6,A,5,body,1,8,0.504596,0,1,1,,0,0,1,2,13.53
book-06-p0090,6,A,11,body,1,12,0.531102,0,1,1,,0,0,1,2,27.20
book-06-p0090,6,A,12,body,2,10,0.142315,0,1,1,,0,0,2,5,27.63
book-06-p0090,6,A,39,body,1,12,0.535677,0,1,1,,0,0,1,1,52.33
book-06-p0095,6,A,9,body,1,11,0.599751,0,1,1,,0,0,1,2,24.74
book-06-p0142,6,A,36,body,1,6,0.517528,1,1,1,,0,0,1,5,20.09
book-06-p0142,6,A,42,body,1,9,0.378323,0,1,1,,0,0,1,1,48.86
book-06-p0179,6,A,15,body,1,8,0.565690,0,1,1,,0,0,1,4,32.17
book-06-p0187,6,A,23,body,1,5,0.577065,1,1,1,,0,0,0,0,55.70
book-06-p0187,6,A,42,body,1,4,0.418641,0,1,1,,0,0,1,2,21.91
book-06-p0201,6,A,17,body,1,7,0.572724,0,1,1,,0,0,1,3,42.56
book-06-p0209,6,A,15,body,1,4,0.542699,0,1,1,,0,0,1,1,32.72
book-06-p0209,6,A,42,body,1,3,0.591992,0,1,1,,0,0,1,5,32.34
book-06-p0250,6,A,41,body,1,17,0.502712,0,1,1,,0,0,1,5,28.44
book-06-p0263,6,A,6,body,1,4,0.598817,0,1,1,,0,0,1,2,26.43
book-07-p0005,7,A,0,body,1,8,0.258595,0,1,1,,0,0,1,1,32.65
book-07-p0005,7,A,1,body,2,7,0.225524,0,1,1,,0,0,1,1,35.58
book-07-p0019,7,A,2,body,2,15,0.502225,0,1,1,,0,0,1,1,38.16
book-07-p0019,7,A,7,body,1,6,0.573823,0,1,1,,0,0,1,6,31.81
book-07-p0019,7,A,23,body,1,7,0.423617,0,1,1,,0,0,1,1,21.33
book-07-p0019,7,A,41,body,1,17,0.470377,0,1,1,,0,0,1,2,48.18
book-07-p0021,7,A,15,body,1,10,0.568536,0,1,1,,0,0,1,1,26.23
book-07-p0021,7,A,19,body,1,5,0.425852,0,1,1,,0,0,1,3,31.85
book-07-p0030,7,A,3,body,1,5,0.543112,1,1,1,,0,0,0,0,25.58
book-07-p0030,7,A,6,body,1,4,0.562946,0,1,1,,0,0,1,2,27.04
book-07-p0030,7,A,31,body,2,14,0.528363,1,0,0,unparsed,0,0,0,0,45.25
book-07-p0030,7,A,39,body,1,6,0.509717,0,1,1,,0,0,1,2,39.12
book-07-p0038,7,A,3,body,1,8,0.454415,1,1,1,,0,0,0,0,19.23
book-07-p0038,7,A,17,body,1,6,0.592266,1,1,1,,0,0,0,0,52.50
book-07-p0038,7,A,24,body,1,9,0.510837,1,1,1,,0,0,0,0,34.44
book-07-p0067,7,A,18,body,1,7,0.528129,0,1,1,,0,0,1,1,20.96
book-07-p0067,7,A,21,body,1,5,0.410993,0,1,1,,0,0,1,3,53.54
book-07-p0104,7,A,0,body,1,5,0.533619,0,1,1,,0,0,1,1,32.72
book-07-p0104,7,A,20,body,1,7,0.570634,0,1,1,,0,0,1,2,16.66
book-07-p0104,7,A,29,body,1,5,0.544910,0,1,1,,0,0,1,1,34.64
book-07-p0156,7,A,42,body,1,5,0.500209,0,1,1,,0,0,1,3,30.41
book-07-p0166,7,A,19,body,1,8,0.510841,0,1,1,,0,0,1,3,20.54
book-07-p0191,7,A,37,body,1,9,0.377111,1,1,1,,0,0,0,0,16.84
book-07-p0197,7,A,0,body,1,3,0.502096,1,1,1,,0,0,0,0,13.68
book-07-p0234,7,A,41,body,1,1,0.552206,1,1,1,,0,0,0,0,18.33
book-07-p0236,7,A,23,body,1,4,0.531053,1,1,1,,0,0,0,0,20.77
book-07-p0245,7,A,1,title,1,6,0.538418,1,1,1,,0,0,0,0,37.50
book-07-p0245,7,A,2,title,1,5,0.383119,0,1,1,,0,0,1,1,15.58
book-07-p0259,7,A,11,body,1,6,0.530857,0,1,1,,0,0,1,1,33.62
book-07-p0259,7,A,20,body,1,10,0.509262,0,1,1,,0,0,1,1,18.97
book-08-p0019,8,A,0,body,1,8,0.535685,1,1,1,,0,0,0,0,33.00
book-08-p0019,8,A,2,body,1,5,0.521804,0,1,1,,0,0,1,2,22.78
book-08-p0019,8,A,3,body,1,6,0.589194,0,1,1,,0,0,1,2,29.42
book-08-p0019,8,A,5,body,1,6,0.504724,0,1,1,,0,0,1,2,25.84
book-08-p0019,8,A,7,body,1,6,0.516226,0,1,1,,0,0,1,5,15.88
book-08-p0019,8,A,8,body,1,8,0.510590,0,1,1,,0,0,1,2,21.62
book-08-p0019,8,A,9,body,1,17,0.497633,0,1,1,,0,0,1,2,10.66
book-08-p0019,8,A,12,body,1,8,0.519453,0,1,1,,0,0,1,1,42.47
book-08-p0019,8,A,13,body,1,8,0.398215,0,1,1,,0,0,1,2,11.12
book-08-p0019,8,A,16,body,1,6,0.497236,0,1,1,,0,0,1,1,40.59
book-08-p0019,8,A,22,body,1,8,0.571051,0,1,1,,0,0,1,2,31.07
book-08-p0019,8,A,24,body,1,7,0.441954,0,1,1,,0,0,1,1,30.25
book-08-p0019,8,A,25,body,1,5,0.579151,0,1,1,,0,0,1,2,17.22
book-08-p0019,8,A,26,body,1,6,0.598398,0,1,1,,0,0,1,2,32.31
book-08-p0019,8,A,27,body,1,16,0.377401,0,1,1,,0,0,1,2,15.29
book-08-p0019,8,A,28,body,1,8,0.524476,0,1,1,,0,0,1,1,28.74
book-08-p0019,8,A,36,body,1,6,0.471330,1,1,1,,0,0,0,0,17.29
book-08-p0019,8,A,38,body,1,2,0.571811,0,1,1,,0,0,1,2,32.45
book-08-p0019,8,A,39,body,1,6,0.498437,0,1,1,,0,0,1,2,28.48
book-08-p0019,8,A,40,body,1,8,0.521087,0,1,1,,0,0,1,2,27.55
book-08-p0019,8,A,42,body,1,6,0.578931,0,1,1,,0,0,1,1,24.94
book-08-p0019,8,A,46,body,2,13,0.555219,0,1,1,,0,0,2,9,33.40
book-08-p0019,8,A,47,body,1,9,0.495302,1,1,1,,0,0,0,0,47.24
book-08-p0019,8,A,48,body,1,6,0.510572,1,1,0,outside-changed,1,0,0,0,24.02
book-08-p0019,8,A,51,body,1,5,0.590710,0,1,1,,0,0,1,2,29.94
book-08-p0019,8,A,53,body,1,7,0.390973,0,1,1,,0,0,1,1,12.44
book-08-p0019,8,A,55,body,2,10,0.469001,0,1,1,,0,0,1,3,42.92
book-08-p0029,8,A,4,body,1,4,0.464141,1,1,1,,0,0,0,0,18.00
book-08-p0036,8,A,14,body,1,3,0.578594,0,1,1,,0,0,1,3,36.12
book-08-p0036,8,A,19,title,1,8,0.554773,0,1,1,,0,0,1,3,19.48
